Modification,Perplexity_mean,Time_mean
"{'run_mode': 'prune', 'config': 'config.json', 'base_model': 'vinai/PhoGPT-4B-Chat', 'output': 'pruning_results.csv', 'instructive_prompt': False, 'measure_time': True, 'output_console': True, 'bnb': 'none', 'load_peft_path': None, 'model_path': '', 'dataset_path': '', 'block_size': 1024, 'precision': 'fp16', 'eval_after_train': None, 'save_full_model': None, 'save_path': './trained_model', 'benchmark': 'perplexity-dataset-oscarvi', 'repeat': 1, 'eval_base': True, 'pruning_method': 'xconsecutive', 'pruning_rate': [], 'pruning_layer_num': [1, 2, 3, 4, 6], 'pruning_target': '', 'pruning_data': 'c4', 'pruning_n_samples': 1000, 'pruning_rand_data': None, 'pruning_batch_size': 32, 'pruning_avg': None, 'pruning_mag_norm': 'l1', 'pruning_grad_T_order': 1}",,
Base model,37.37957763671875,0.9693398475646973
Removed 0 to 0,nan,0.28290462493896484
Removed 1 to 1,62.414306640625,0.3113253116607666
Removed 2 to 2,52.90838623046875,0.3089749813079834
Removed 3 to 3,48.9027099609375,0.3118007183074951
Removed 4 to 4,47.185791015625,0.31148290634155273
Removed 5 to 5,43.1368408203125,0.31023526191711426
Removed 6 to 6,41.44818115234375,0.31149816513061523
Removed 7 to 7,42.16131591796875,0.30954837799072266
Removed 8 to 8,43.59649658203125,0.30941247940063477
Removed 9 to 9,43.185791015625,0.31128811836242676
Removed 10 to 10,40.7275390625,0.30963730812072754
Removed 11 to 11,44.15374755859375,0.3099987506866455
Removed 12 to 12,41.57391357421875,0.3094508647918701
Removed 13 to 13,39.64288330078125,0.3106052875518799
Removed 14 to 14,43.835479736328125,0.31186771392822266
Removed 15 to 15,42.662109375,0.30911827087402344
Removed 16 to 16,39.43603515625,0.3105733394622803
Removed 17 to 17,39.8955078125,0.3076901435852051
Removed 18 to 18,38.44012451171875,0.31226491928100586
Removed 19 to 19,42.0452880859375,0.31145477294921875
Removed 20 to 20,41.0577392578125,0.31240034103393555
Removed 21 to 21,40.61676025390625,0.3128228187561035
Removed 22 to 22,40.2852783203125,0.3109595775604248
Removed 23 to 23,43.618408203125,0.3122587203979492
Removed 24 to 24,42.9891357421875,0.3122861385345459
Removed 25 to 25,40.677703857421875,0.313718318939209
Removed 26 to 26,41.99871826171875,0.31002378463745117
Removed 27 to 27,43.215789794921875,0.31540799140930176
Removed 28 to 28,42.20672607421875,0.3105125427246094
Removed 29 to 29,41.11041259765625,0.3082616329193115
Removed 30 to 30,39.4503173828125,0.3135037422180176
Removed 31 to 31,115.42047119140625,0.3142964839935303
Removed 0 to 1,nan,0.27260732650756836
Removed 1 to 2,98.1385498046875,0.30291295051574707
Removed 2 to 3,64.0235595703125,0.3039093017578125
Removed 3 to 4,62.24383544921875,0.30630946159362793
Removed 4 to 5,50.38140869140625,0.30235981941223145
Removed 5 to 6,46.60693359375,0.3029460906982422
Removed 6 to 7,47.45697021484375,0.3045680522918701
Removed 7 to 8,49.538818359375,0.30324721336364746
Removed 8 to 9,49.84539794921875,0.30263757705688477
Removed 9 to 10,46.55126953125,0.3044114112854004
Removed 10 to 11,49.06048583984375,0.3027153015136719
Removed 11 to 12,49.77239990234375,0.30641961097717285
Removed 12 to 13,43.7420654296875,0.3045976161956787
Removed 13 to 14,45.42041015625,0.30402159690856934
Removed 14 to 15,53.657958984375,0.29990625381469727
Removed 15 to 16,50.9267578125,0.30295777320861816
Removed 16 to 17,44.10009765625,0.3045468330383301
Removed 17 to 18,40.7255859375,0.30370211601257324
Removed 18 to 19,46.80157470703125,0.30261754989624023
Removed 19 to 20,50.00506591796875,0.3020360469818115
Removed 20 to 21,46.7413330078125,0.2990589141845703
Removed 21 to 22,45.33380126953125,0.2998056411743164
Removed 22 to 23,47.93695068359375,0.303239107131958
Removed 23 to 24,51.95892333984375,0.30425167083740234
Removed 24 to 25,48.6595458984375,0.30503034591674805
