Modification,Perplexity_mean,Time_mean
"{'run_mode': 'prune', 'config': 'config.json', 'base_model': 'vinai/PhoGPT-4B-Chat', 'output': 'results/pruning_results_xcon.csv', 'instructive_prompt': False, 'measure_time': True, 'output_console': True, 'bnb': 'none', 'load_peft_path': None, 'model_path': '', 'dataset_path': '', 'block_size': 1024, 'precision': 'fp16', 'eval_after_train': None, 'save_full_model': None, 'save_path': './trained_model', 'benchmark': 'perplexity-essay-vn', 'repeat': 1, 'eval_base': True, 'pruning_method': 'xconsecutive', 'pruning_rate': [], 'pruning_layer_num': [1, 2, 3, 4, 6], 'pruning_target': '', 'pruning_data': 'c4', 'pruning_n_samples': 1000, 'pruning_rand_data': None, 'pruning_batch_size': 32, 'pruning_avg': None, 'pruning_mag_norm': 'l1', 'pruning_grad_T_order': 1}",,
Base model,12.650546875,1.1750340461730957
Removed 0 to 0,nan,0.31166648864746094
Removed 1 to 1,16.874375,0.3248920440673828
Removed 2 to 2,15.8362109375,0.31677865982055664
Removed 3 to 3,14.17125,0.31985020637512207
Removed 4 to 4,13.5713671875,0.3193013668060303
Removed 5 to 5,12.29734375,0.31940531730651855
Removed 6 to 6,12.3973828125,0.3171977996826172
Removed 7 to 7,12.9371875,0.31973791122436523
Removed 8 to 8,12.6122265625,0.31966733932495117
Removed 9 to 9,13.1166796875,0.3200223445892334
Removed 10 to 10,13.247578125,0.31984567642211914
Removed 11 to 11,13.1745703125,0.3195922374725342
Removed 12 to 12,12.7107421875,0.31975769996643066
Removed 13 to 13,12.9801953125,0.31981539726257324
Removed 14 to 14,12.5289453125,0.3203768730163574
Removed 15 to 15,12.718984375,0.3193669319152832
Removed 16 to 16,12.1796484375,0.31951117515563965
Removed 17 to 17,12.7390234375,0.3203155994415283
Removed 18 to 18,12.7341015625,0.32071709632873535
Removed 19 to 19,13.6515234375,0.31961965560913086
Removed 20 to 20,13.0917578125,0.3196864128112793
Removed 21 to 21,14.2265625,0.3199276924133301
Removed 22 to 22,13.0777734375,0.3204381465911865
Removed 23 to 23,13.52453125,0.3235752582550049
Removed 24 to 24,13.50453125,0.3235783576965332
Removed 25 to 25,12.6939453125,0.32437777519226074
Removed 26 to 26,13.077421875,0.32381105422973633
Removed 27 to 27,13.83171875,0.32254958152770996
Removed 28 to 28,12.951328125,0.3215651512145996
Removed 29 to 29,13.253046875,0.3204381465911865
Removed 30 to 30,13.073203125,0.32047367095947266
Removed 31 to 31,22.6320703125,0.31992077827453613
Removed 0 to 1,nan,0.2977478504180908
Removed 1 to 2,20.9853515625,0.3080930709838867
Removed 2 to 3,15.5557421875,0.3095264434814453
Removed 3 to 4,13.8201953125,0.30994367599487305
Removed 4 to 5,13.1446875,0.3100752830505371
Removed 5 to 6,12.5112890625,0.3114638328552246
Removed 6 to 7,12.2912890625,0.3104822635650635
Removed 7 to 8,12.31265625,0.30779170989990234
Removed 8 to 9,13.2519140625,0.31059956550598145
Removed 9 to 10,13.6853515625,0.3117055892944336
Removed 10 to 11,13.88625,0.310269832611084
Removed 11 to 12,13.381640625,0.309877872467041
Removed 12 to 13,13.357109375,0.30982351303100586
Removed 13 to 14,13.0940234375,0.3097648620605469
Removed 14 to 15,12.878359375,0.31041383743286133
Removed 15 to 16,12.3165625,0.30985474586486816
Removed 16 to 17,12.540078125,0.3096897602081299
Removed 17 to 18,12.9608203125,0.31111717224121094
Removed 18 to 19,14.2152734375,0.3098433017730713
Removed 19 to 20,14.3666796875,0.31071949005126953
Removed 20 to 21,14.892109375,0.3102583885192871
Removed 21 to 22,15.15515625,0.31029677391052246
Removed 22 to 23,14.423125,0.31043100357055664
Removed 23 to 24,14.421640625,0.3110980987548828
Removed 24 to 25,13.98359375,0.31081604957580566
Removed 25 to 26,13.0600390625,0.3105032444000244
Removed 26 to 27,14.71453125,0.31080102920532227
Removed 27 to 28,14.2209375,0.3114745616912842
Removed 28 to 29,14.27828125,0.31084227561950684
Removed 29 to 30,27.587734375,0.3108692169189453
Removed 30 to 31,23.68703125,0.31234288215637207
Removed 0 to 2,nan,0.2880067825317383
Removed 1 to 3,21.7887109375,0.30100417137145996
Removed 2 to 4,18.0711328125,0.30057406425476074
Removed 3 to 5,12.9905078125,0.3007326126098633
Removed 4 to 6,15.473671875,0.3012402057647705
Removed 5 to 7,15.8583203125,0.3006172180175781
Removed 6 to 8,15.920859375,0.3046712875366211
Removed 7 to 9,15.48609375,0.30353808403015137
Removed 8 to 10,13.8213671875,0.3030071258544922
Removed 9 to 11,14.5093359375,0.30504822731018066
Removed 10 to 12,14.25671875,0.30450916290283203
Removed 11 to 13,14.5109765625,0.3010685443878174
Removed 12 to 14,13.733515625,0.2997405529022217
Removed 13 to 15,14.0623828125,0.3014037609100342
Removed 14 to 16,12.8471875,0.30249643325805664
Removed 15 to 17,12.7794140625,0.302048921585083
Removed 16 to 18,13.1908984375,0.30187487602233887
Removed 17 to 19,14.830546875,0.3017442226409912
Removed 18 to 20,14.7455859375,0.2996227741241455
Removed 19 to 21,16.180390625,0.30080318450927734
Removed 20 to 22,15.72203125,0.3015022277832031
Removed 21 to 23,17.07484375,0.3022177219390869
Removed 22 to 24,15.168046875,0.2999842166900635
Removed 23 to 25,14.9308203125,0.30138230323791504
Removed 24 to 26,14.435390625,0.301771879196167
Removed 25 to 27,14.7525390625,0.30243372917175293
Removed 26 to 28,15.2018359375,0.30206990242004395
Removed 27 to 29,16.073359375,0.30237579345703125
Removed 28 to 30,42.980703125,0.3011941909790039
Removed 29 to 31,26.3666796875,0.30133056640625
Removed 0 to 3,nan,0.28061842918395996
Removed 1 to 4,186.66640625,0.2917802333831787
Removed 2 to 5,16.8555859375,0.2920222282409668
Removed 3 to 6,46.715546875,0.29189443588256836
Removed 4 to 7,21.3596875,0.2916722297668457
Removed 5 to 8,21.012890625,0.29094815254211426
Removed 6 to 9,20.6557421875,0.29295921325683594
Removed 7 to 10,15.9694921875,0.2924799919128418
Removed 8 to 11,14.4537109375,0.29262375831604004
Removed 9 to 12,15.314921875,0.2909564971923828
Removed 10 to 13,15.7982421875,0.29396939277648926
Removed 11 to 14,15.3741015625,0.29198575019836426
Removed 12 to 15,15.5337109375,0.29267406463623047
Removed 13 to 16,14.03375,0.29271364212036133
Removed 14 to 17,13.746171875,0.29381847381591797
Removed 15 to 18,13.4037109375,0.29224109649658203
Removed 16 to 19,15.1898046875,0.29208898544311523
Removed 17 to 20,15.2918359375,0.2923617362976074
Removed 18 to 21,16.9558984375,0.2894573211669922
Removed 19 to 22,17.0114453125,0.2935004234313965
Removed 20 to 23,17.395,0.293748140335083
Removed 21 to 24,17.8498828125,0.29256510734558105
Removed 22 to 25,16.033828125,0.29108381271362305
Removed 23 to 26,15.6560546875,0.2926363945007324
Removed 24 to 27,16.401328125,0.2928495407104492
Removed 25 to 28,16.1176171875,0.2925984859466553
Removed 26 to 29,17.635,0.2940831184387207
Removed 27 to 30,68.6603125,0.2932419776916504
Removed 28 to 31,29.51234375,0.2931077480316162
Removed 0 to 5,nan,0.26889991760253906
Removed 1 to 6,1081.90875,0.2720305919647217
Removed 2 to 7,541.55125,0.2713932991027832
Removed 3 to 8,88.39765625,0.2734856605529785
Removed 4 to 9,130.74625,0.2726001739501953
Removed 5 to 10,53.878828125,0.27507686614990234
Removed 6 to 11,30.173828125,0.274552583694458
Removed 7 to 12,19.3010546875,0.2763338088989258
Removed 8 to 13,19.5641015625,0.273529052734375
Removed 9 to 14,19.8337890625,0.2741713523864746
Removed 10 to 15,21.93890625,0.27583765983581543
Removed 11 to 16,20.15296875,0.27324795722961426
Removed 12 to 17,18.570390625,0.27355051040649414
Removed 13 to 18,17.093125,0.27397918701171875
Removed 14 to 19,15.9062890625,0.27440881729125977
Removed 15 to 20,16.07828125,0.2730441093444824
Removed 16 to 21,21.432109375,0.27318596839904785
Removed 17 to 22,22.046484375,0.2702937126159668
Removed 18 to 23,22.924609375,0.2731904983520508
Removed 19 to 24,21.49796875,0.2725217342376709
Removed 20 to 25,20.7565625,0.27341628074645996
Removed 21 to 26,21.71140625,0.2732264995574951
Removed 22 to 27,19.620234375,0.2710447311401367
Removed 23 to 28,20.400859375,0.2727811336517334
Removed 24 to 29,22.128125,0.2727620601654053
Removed 25 to 30,205.5584375,0.2732856273651123
Removed 26 to 31,36.8347265625,0.2727549076080322
Modification,Perplexity_mean,Time_mean
"{'run_mode': 'prune', 'config': 'config.json', 'base_model': 'vinai/PhoGPT-4B-Chat', 'output': 'results/pruning_results_xcon.csv', 'instructive_prompt': False, 'measure_time': True, 'output_console': True, 'bnb': 'none', 'load_peft_path': None, 'model_path': '', 'dataset_path': '', 'block_size': 1024, 'precision': 'fp16', 'eval_after_train': None, 'save_full_model': None, 'save_path': './trained_model', 'benchmark': 'perplexity-dataset-vnnews', 'repeat': 1, 'eval_base': True, 'pruning_method': 'xconsecutive', 'pruning_rate': [], 'pruning_layer_num': [1, 2, 3, 4, 6], 'pruning_target': '', 'pruning_data': 'c4', 'pruning_n_samples': 1000, 'pruning_rand_data': None, 'pruning_batch_size': 32, 'pruning_avg': None, 'pruning_mag_norm': 'l1', 'pruning_grad_T_order': 1}",,
Base model,21.993011474609375,0.832038402557373
Removed 0 to 0,nan,0.2199091911315918
Removed 1 to 1,26.32025146484375,0.24482035636901855
Removed 2 to 2,27.031341552734375,0.2441403865814209
Removed 3 to 3,25.779388427734375,0.24472951889038086
Removed 4 to 4,26.111663818359375,0.2453625202178955
Removed 5 to 5,23.22271728515625,0.24348020553588867
Removed 6 to 6,21.869873046875,0.2471475601196289
Removed 7 to 7,21.945098876953125,0.24637269973754883
Removed 8 to 8,21.505767822265625,0.24415206909179688
Removed 9 to 9,21.852813720703125,0.24222278594970703
Removed 10 to 10,22.749420166015625,0.24145960807800293
Removed 11 to 11,22.649871826171875,0.2461080551147461
